"Label","OTUs","Genus","Morphology","MajorCategory","MorphoFunctionalGroup"
"cypenc","Cyphastrea_spp/Turbinaria_radicalis_encrusting","Cyphastrea","spp/Turbinaria_radicalis_encrusting","Scleractinian","Hard coral_encrusting"
"cypmas","Cyphastrea_massive","Cyphastrea","massive","Scleractinian","Hard coral_massive"
"cytbus","Cyathelia_bushy","Cyathelia","bushy","Scleractinian","Hard coral_bushy"
"delcom","Delisea_corticated_macrophyte","Delisea","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"denbus","Dendronephthya_bushy","Dendronephthya","bushy","Octocoral","Soft coral_bushy"
"diaoth","Diadema_other_life","Diadema","other_life","Other Mobile Invertebrates","Other mobile invertebrates"
"diccof","Dictyota_corticated_foliose","Dictyota","corticated_foliose","Macroalgae","Macroalgae_corticated_foliose"
"dicspha","Dictyosphaeria_encrusting like","Dictyosphaeria","encrusting like","Macroalgae","Macroalgae_encrusting like"
"didclu","Didemnum_clustered","Didemnum","clustered","Other Sessile Invertebrates","Ascidian_clustered"
"didenc","Didemnum_encrusting","Didemnum","encrusting","Other Sessile Invertebrates","Ascidian_encrusting"
"didere","Didemnum_erect_single","Didemnum","erect_single","Other Sessile Invertebrates","Ascidian_erectsingle"
"dilmas","Diploastrea_massive","Diploastrea","massive","Scleractinian","Hard coral_massive"
"dioart","Dichotomaria_articulated_calcareous","Dichotomaria","articulated_calcareous","Macroalgae","Macroalgae_articulated_calcareous"
"dipenc","Merulinidae_spp2_encrusting","Merulinidae.spp2","spp2_encrusting","Scleractinian","Hard coral_encrusting"
"dipmas","Merulinidae_spp2_massive","Merulinidae.spp2","spp2_massive","Scleractinian","Hard coral_massive"
"disenc","Discosoma_encrusting","Discosoma","encrusting","Other Sessile Invertebrates","Corallimorpharia_encrusting"
"ditfol","Dictyopteris_foliose","Dictyopteris","foliose","Macroalgae","Macroalgae_foliose"
"dudcom","Dudresnaya_corticated_macrophyte","Dudresnaya","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"echenc","Echinophyllia/Oxypora_encrusting","Echinophyllia/Oxypora","encrusting","Scleractinian","Hard coral_encrusting"
"echmas","Echinophyllia/Oxypora_massive","Echinophyllia/Oxypora","massive","Scleractinian","Hard coral_massive"
"echoth","Echinometridae_other_life","Echinometridae","other_life","Other Mobile Invertebrates","Other mobile invertebrates"
"ecoenc","Echinopora_encrusting","Echinopora","encrusting","Scleractinian","Hard coral_encrusting"
"ecofol","Echinopora_foliose","Echinopora","foliose","Scleractinian","Hard coral_foliose"
"effclu","Efflatounaria_clustered","Efflatounaria","clustered","Octocoral","Soft coral_clustered"
"ellarb","Ellisella/Juncella_arborescent","Ellisella/Juncella","arborescent","Gorgonian","Gorgonian_arborescent"
"entenc","Entacmaea_encrusting","Entacmaea","encrusting","Other Sessile Invertebrates","Actiniaria_encrusting"
"epiarb","Epizoanthus_arborescent","Epizoanthus","arborescent","Other Sessile Invertebrates","Zoanthid_arborescent"
"euccom","Eucheuma_corticated_macrophyte","Eucheuma","corticated_macrophyte","Macroalgae","Macroalgae_corticated_macrophyte"
"euparb","Euplexaura_arborescent","Euplexaura","arborescent","Gorgonian","Gorgonian_arborescent"
"eupfan","Euplexaura_fan","Euplexaura","fan","Gorgonian","Gorgonian_fan"
"eupmas","Euphyllia_massive","Euphyllia","massive","Scleractinian","Hard coral_massive"
"faienc","Merulinidae_spp1_encrusting","Merulinidae.spp1","spp1_encrusting","Scleractinian","Hard coral_encrusting"
